expense_id;client_id;place_id;is_promo_type;creation_utc;creator_employee_id
798469;153393;3;0;2018-06-02 00:07:00;7537
798470;127171;3;0;2018-06-02 00:08:00;7537
798471;153509;3;0;2018-06-02 00:08:00;7537
798476;68827;3;0;2018-06-02 00:12:00;7537
798477;58225;3;0;2018-06-02 00:13:00;7537
798478;86015;3;0;2018-06-02 00:15:00;7537
798479;85973;3;0;2018-06-02 00:16:00;7537
798484;142121;3;0;2018-06-02 00:23:00;7537
798485;133896;3;0;2018-06-02 00:24:00;7537
798489;134423;3;0;2018-06-02 01:01:00;7537
798502;153753;1;0;2018-06-02 01:37:00;1031
798503;153752;1;0;2018-06-02 01:37:00;1031
798504;153752;1;0;2018-06-02 01:37:00;1031
798508;142095;3;0;2018-06-02 02:45:00;7537
798509;74837;3;0;2018-06-02 03:12:00;7537
798510;74838;3;0;2018-06-02 03:12:00;7537
798514;153742;1;0;2018-06-02 03:47:00;1031
798518;142095;3;0;2018-06-02 04:02:00;7537
798520;150698;1;0;2018-06-02 04:34:00;1031
798524;153374;1;0;2018-06-02 04:57:00;1031
798534;152945;1;0;2018-06-02 05:32:00;7579
798535;87735;1;0;2018-06-02 05:32:00;7579
798551;134423;1;0;2018-06-02 08:22:00;7579
798552;134423;1;0;2018-06-02 08:24:00;7579
798557;134423;1;0;2018-06-02 08:40:00;7579
798558;153741;1;0;2018-06-02 08:44:00;7579
798559;153742;1;0;2018-06-02 08:45:00;1031
798564;153751;1;0;2018-06-02 08:52:00;1031
798565;153742;1;0;2018-06-02 08:52:00;1031
798566;142403;1;0;2018-06-02 08:54:00;1031
798567;153754;1;0;2018-06-02 08:54:00;1031
798579;150632;1;0;2018-06-02 10:25:00;7579
798583;133292;1;0;2018-06-02 11:56:00;7579
798584;140849;1;0;2018-06-02 11:58:00;7579
798585;153751;1;0;2018-06-02 12:05:00;7579
798589;134423;1;0;2018-06-02 12:22:00;7579
798590;103427;3;0;2018-06-02 12:40:00;7512
798591;153763;1;0;2018-06-02 12:41:00;1031
798595;133022;1;0;2018-06-02 12:46:00;7579
798596;153764;1;0;2018-06-02 12:46:00;7536
799685;147337;1;0;2018-06-06 02:34:00;1031
799686;153372;1;0;2018-06-06 02:34:00;1031
799690;117072;1;0;2018-06-06 02:51:00;1031
799698;153847;3;0;2018-06-06 04:38:00;7455
799703;153849;1;0;2018-06-06 07:24:00;1031
799704;153725;3;0;2018-06-06 07:42:00;7512
799710;153845;1;0;2018-06-06 08:12:00;1031
799717;120684;3;0;2018-06-06 09:11:00;7512
799718;103863;3;0;2018-06-06 09:12:00;7512
799720;120684;3;0;2018-06-06 09:12:00;7512
799725;153259;3;0;2018-06-06 09:27:00;7512
799726;153258;3;0;2018-06-06 09:27:00;7512
799735;123866;3;0;2018-06-06 10:50:00;7512
799747;153372;1;0;2018-06-06 12:08:00;1031
799752;151022;3;0;2018-06-06 12:25:00;7512
799753;151023;3;0;2018-06-06 12:25:00;7512
799754;151023;3;0;2018-06-06 12:25:00;7512
799755;100301;1;0;2018-06-06 12:27:00;1031
799760;145766;3;0;2018-06-06 12:31:00;7512
799762;136921;1;0;2018-06-06 12:37:00;7536
799763;102889;1;0;2018-06-06 12:38:00;7536
799767;102889;1;0;2018-06-06 12:40:00;7536
799768;45749;1;0;2018-06-06 12:40:00;7536
799771;134413;3;0;2018-06-06 12:46:00;7279
799772;31441;1;0;2018-06-06 12:48:00;1031
799773;31441;1;0;2018-06-06 12:48:00;7536
799777;62405;3;0;2018-06-06 13:00:00;7279
799778;125317;1;0;2018-06-06 13:02:00;1031
799779;127208;3;0;2018-06-06 13:02:00;7279
799781;109613;3;0;2018-06-06 13:13:00;7279
799785;131478;3;0;2018-06-06 13:51:00;7279
799786;140491;1;0;2018-06-06 14:00:00;1031
799787;137528;1;0;2018-06-06 14:00:00;1031
799792;142133;1;0;2018-06-06 14:03:00;7536
799793;64751;1;0;2018-06-06 14:03:00;7536
799794;64750;1;0;2018-06-06 14:03:00;7536
799796;151874;3;0;2018-06-06 14:07:00;7279
799797;139082;3;0;2018-06-06 14:07:00;7279
799801;153640;3;0;2018-06-06 14:32:00;7279
799802;153641;3;0;2018-06-06 14:33:00;7279
799808;147925;3;0;2018-06-06 14:40:00;7279
799811;137119;1;0;2018-06-06 14:42:00;1031
799813;137119;1;0;2018-06-06 14:45:00;7536
799820;153858;1;0;2018-06-06 15:03:00;7536
799824;153784;1;0;2018-06-06 15:30:00;7536
799825;153784;1;0;2018-06-06 15:30:00;1031
799829;127208;3;0;2018-06-06 15:38:00;7279
799830;117337;1;0;2018-06-06 15:40:00;7536
799835;33461;3;0;2018-06-06 15:59:00;7279
799836;107230;3;0;2018-06-06 15:59:00;7279
799837;37441;1;0;2018-06-06 16:00:00;7536
799838;148472;1;0;2018-06-06 16:00:00;1031
799839;105310;1;0;2018-06-06 16:00:00;1031
799843;107230;3;0;2018-06-06 16:10:00;7279
799844;66285;1;0;2018-06-06 16:11:00;7536
799845;153858;1;0;2018-06-06 16:11:00;1031
799850;153858;1;0;2018-06-06 16:12:00;7536
799851;66285;1;0;2018-06-06 16:12:00;7536
799856;103145;3;0;2018-06-06 16:14:00;7279
799857;122630;3;0;2018-06-06 16:15:00;7279
799858;153859;1;0;2018-06-06 16:15:00;7536
799861;126890;1;0;2018-06-06 16:18:00;7536
799862;151442;1;0;2018-06-06 16:18:00;1031
799863;131054;1;0;2018-06-06 16:18:00;7536
799866;123091;1;0;2018-06-06 16:23:00;7536
799867;131054;1;0;2018-06-06 16:25:00;7536
799871;149458;1;0;2018-06-06 16:28:00;7536
799872;149458;1;0;2018-06-06 16:28:00;7536
799873;54610;3;0;2018-06-06 16:28:00;7279
799878;153860;1;0;2018-06-06 16:33:00;7536
799883;149026;3;0;2018-06-06 16:41:00;7279
799884;63808;3;0;2018-06-06 16:41:00;7279
799885;87735;1;0;2018-06-06 16:41:00;7536
799886;103427;1;0;2018-06-06 16:55:00;7536
799890;133249;1;0;2018-06-06 17:00:00;1031
799897;398;3;0;2018-06-06 17:02:00;7279
799899;133246;1;0;2018-06-06 17:02:00;7536
799904;61622;1;0;2018-06-06 17:05:00;7536
799906;61620;1;0;2018-06-06 17:12:00;7536
799911;485;3;0;2018-06-06 17:43:00;7279
799912;398;3;0;2018-06-06 17:43:00;7279
799915;145098;1;0;2018-06-06 17:50:00;1031
799916;117337;1;0;2018-06-06 17:50:00;7536
798718;147337;1;0;2018-06-02 18:24:00;1031
798726;133893;3;0;2018-06-02 18:40:00;7512
798727;133892;3;0;2018-06-02 18:40:00;7512
798730;124024;1;0;2018-06-02 19:15:00;1031
798731;153372;1;0;2018-06-02 19:16:00;1031
798732;146058;1;0;2018-06-02 19:16:00;1031
798733;137528;1;0;2018-06-02 19:16:00;1031
798734;146021;1;0;2018-06-02 19:17:00;7536
798739;153374;1;0;2018-06-02 19:21:00;1031
798740;118281;1;0;2018-06-02 19:21:00;1031
798741;153356;1;0;2018-06-02 19:21:00;1031
798742;143383;1;0;2018-06-02 20:03:00;1031
798752;143631;3;0;2018-06-02 20:21:00;7570
798763;31505;3;0;2018-06-02 20:41:00;7570
798764;153181;3;0;2018-06-02 20:42:00;7570
798765;31505;3;0;2018-06-02 20:42:00;7570
798769;153179;3;0;2018-06-02 20:49:00;7570
798770;31505;3;0;2018-06-02 20:49:00;7570
798776;147925;1;0;2018-06-02 21:24:00;1031
798777;151610;1;0;2018-06-02 21:24:00;1031
798778;139993;1;0;2018-06-02 21:24:00;1031
798258;116848;3;0;2018-06-01 14:57:00;7570
798271;72728;3;0;2018-06-01 15:21:00;7570
798281;123404;3;0;2018-06-01 15:38:00;7570
798285;153737;3;0;2018-06-01 15:41:00;7570
798286;120633;3;0;2018-06-01 15:41:00;7570
798287;94234;3;0;2018-06-01 15:41:00;7570
798288;85964;3;0;2018-06-01 15:41:00;7570
798291;153177;3;0;2018-06-01 15:58:00;7570
798292;153181;3;0;2018-06-01 16:00:00;7570
798294;148472;1;0;2018-06-01 16:19:00;1031
798295;111955;1;0;2018-06-01 16:20:00;1031
798300;117337;1;0;2018-06-01 16:27:00;1031
798312;153739;1;0;2018-06-01 16:52:00;1031
798313;119555;1;0;2018-06-01 16:52:00;1031
798314;119555;1;0;2018-06-01 16:53:00;1031
798320;17718;3;0;2018-06-01 17:38:00;7570
798321;143280;3;0;2018-06-01 17:38:00;7570
798322;100647;3;0;2018-06-01 17:38:00;7570
798326;72728;3;0;2018-06-01 17:40:00;7570
798327;17718;3;0;2018-06-01 17:40:00;7570
798335;109763;1;0;2018-06-01 18:24:00;1031
798356;142800;3;0;2018-06-01 18:58:00;7570
798358;140480;1;0;2018-06-01 18:59:00;1031
798362;153724;3;0;2018-06-01 19:21:00;7570
798363;146020;1;0;2018-06-01 19:24:00;1031
798368;134029;1;0;2018-06-01 19:38:00;1031
798369;147700;1;0;2018-06-01 19:38:00;1031
798370;153356;1;0;2018-06-01 19:38:00;1031
798385;31453;3;0;2018-06-01 20:19:00;7537
798388;51605;3;0;2018-06-01 20:28:00;7537
798389;81116;3;0;2018-06-01 20:29:00;7537
798395;127376;3;0;2018-06-01 20:34:00;7537
798396;147694;1;0;2018-06-01 20:35:00;1031
798403;127376;3;0;2018-06-01 20:59:00;7537
798404;80662;3;0;2018-06-01 20:59:00;7537
798405;61630;3;0;2018-06-01 20:59:00;7537
798409;153386;1;0;2018-06-01 21:02:00;1031
798410;153379;1;0;2018-06-01 21:03:00;1031
798421;127171;3;0;2018-06-01 21:41:00;7537
798431;153748;3;0;2018-06-01 22:02:00;7537
798434;153372;1;0;2018-06-01 22:13:00;1031
798435;153749;3;0;2018-06-01 22:16:00;7537
798451;146606;3;0;2018-06-01 23:28:00;7537
798452;153755;3;0;2018-06-01 23:35:00;7537
798456;153757;3;1;2018-06-01 23:42:00;7537
798457;153758;3;0;2018-06-01 23:49:00;7537
798458;153758;3;1;2018-06-01 23:50:00;7537
798461;153760;3;0;2018-06-01 23:56:00;7537
798462;153760;3;1;2018-06-01 23:58:00;7537
798464;148068;3;0;2018-06-02 00:04:00;7537
798465;77786;3;0;2018-06-02 00:05:00;7537
798466;67073;1;0;2018-06-02 00:05:00;1031
798467;134423;3;0;2018-06-02 00:06:00;7537
798468;153749;3;0;2018-06-02 00:06:00;7537
798473;116395;3;0;2018-06-02 00:08:00;7537
798474;153748;3;0;2018-06-02 00:09:00;7537
798475;150513;3;0;2018-06-02 00:09:00;7537
798480;140172;3;0;2018-06-02 00:19:00;7537
798481;142120;3;0;2018-06-02 00:19:00;7537
798482;133893;3;0;2018-06-02 00:20:00;7537
798483;123542;3;0;2018-06-02 00:20:00;7537
798490;66138;1;0;2018-06-02 01:17:00;1031
798492;111928;1;0;2018-06-02 01:18:00;1031
798505;153753;1;0;2018-06-02 01:37:00;1031
798507;144984;3;0;2018-06-02 02:44:00;7537
798511;74837;3;0;2018-06-02 03:15:00;7537
798512;74838;3;0;2018-06-02 03:15:00;7537
798513;153750;1;0;2018-06-02 03:47:00;1031
798521;149166;1;0;2018-06-02 04:34:00;1031
798533;140480;1;0;2018-06-02 05:15:00;1031
798553;134423;1;0;2018-06-02 08:24:00;7579
798554;134423;1;0;2018-06-02 08:25:00;7579
798555;134423;1;0;2018-06-02 08:25:00;7579
798556;134423;1;0;2018-06-02 08:31:00;7579
798560;153741;1;0;2018-06-02 08:45:00;1031
798561;153744;1;0;2018-06-02 08:49:00;1031
798562;153741;1;0;2018-06-02 08:49:00;1031
798563;153741;1;0;2018-06-02 08:51:00;1031
798575;150632;1;0;2018-06-02 10:21:00;7579
798576;150843;1;0;2018-06-02 10:22:00;7579
798577;150843;1;0;2018-06-02 10:24:00;7579
798578;150632;1;0;2018-06-02 10:25:00;7579
798581;133292;1;0;2018-06-02 11:54:00;1031
798582;140849;1;0;2018-06-02 11:55:00;7579
798586;153741;1;0;2018-06-02 12:10:00;7579
798587;153744;1;0;2018-06-02 12:12:00;7579
798588;153742;1;0;2018-06-02 12:13:00;7579
798592;153764;1;0;2018-06-02 12:42:00;1031
798593;153765;1;0;2018-06-02 12:42:00;1031
798594;153763;1;0;2018-06-02 12:44:00;7536
798597;153765;1;0;2018-06-02 12:48:00;7536
798598;133021;1;0;2018-06-02 12:49:00;7579
799687;151452;1;0;2018-06-06 02:37:00;1031
799689;147703;1;0;2018-06-06 02:40:00;1031
799699;153846;3;0;2018-06-06 04:39:00;7455
799705;153728;3;0;2018-06-06 07:44:00;7512
799706;153725;3;0;2018-06-06 07:44:00;7512
799707;153728;3;0;2018-06-06 07:45:00;7512
799708;153725;3;0;2018-06-06 07:45:00;7512
799709;153848;1;0;2018-06-06 08:12:00;1031
799721;120684;3;0;2018-06-06 09:14:00;7512
799722;103863;3;0;2018-06-06 09:15:00;7512
799727;81128;3;0;2018-06-06 09:35:00;7512
799729;131478;3;0;2018-06-06 09:43:00;7512
799730;51731;1;0;2018-06-06 09:48:00;1031
799736;151452;1;0;2018-06-06 10:53:00;1031
799737;147703;1;0;2018-06-06 10:53:00;1031
799738;147337;1;0;2018-06-06 10:53:00;1031
799744;131478;3;0;2018-06-06 11:44:00;7512
799750;131478;3;0;2018-06-06 12:17:00;7512
799751;151022;3;0;2018-06-06 12:24:00;7512
799756;145766;3;0;2018-06-06 12:29:00;7512
799757;119555;3;0;2018-06-06 12:29:00;7512
799758;119555;3;0;2018-06-06 12:30:00;7512
799764;136921;1;0;2018-06-06 12:39:00;7536
799765;102889;1;0;2018-06-06 12:39:00;7536
799766;45749;1;0;2018-06-06 12:39:00;7536
799769;100301;1;0;2018-06-06 12:40:00;7536
799770;146939;1;0;2018-06-06 12:43:00;7536
799774;105310;1;0;2018-06-06 12:53:00;7536
799775;143285;1;0;2018-06-06 12:55:00;7536
799780;87844;1;0;2018-06-06 13:04:00;7536
799782;147967;1;0;2018-06-06 13:18:00;7536
799783;151427;1;0;2018-06-06 13:29:00;1031
799784;131478;3;0;2018-06-06 13:49:00;7279
799788;146046;1;0;2018-06-06 14:00:00;1031
799789;134080;1;0;2018-06-06 14:00:00;1031
799790;142133;1;0;2018-06-06 14:00:00;1031
799791;147689;1;0;2018-06-06 14:02:00;1031
799805;54284;1;0;2018-06-06 14:38:00;7536
799807;1008;1;0;2018-06-06 14:38:00;7536
799812;153366;1;0;2018-06-06 14:42:00;1031
799814;88219;1;0;2018-06-06 14:50:00;1031
799815;153857;1;0;2018-06-06 14:59:00;7536
799821;1008;1;0;2018-06-06 15:05:00;1031
799822;54284;1;0;2018-06-06 15:06:00;7536
799823;54284;1;0;2018-06-06 15:06:00;1031
799826;153784;1;0;2018-06-06 15:31:00;7536
799827;153784;1;0;2018-06-06 15:31:00;7536
